Previous_Location,Locations (city/country),Budget (USD),Weather_condition,Month,Distance (km),Gender,Accommodation,Languages,Travel_Companions
"Santiago, Chile","Seoul, South Korea",1500-3000 USD,Rainy,July,18356.28,Female,Airbnb,['Korean'],Friends
"Barcelona, Spain","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,1238.47,Male,Hotel,"['Dutch', 'English']",Friends
"Barcelona, Spain","Dubai, UAE",1500-3000 USD,Hot,August,5161.11,Female,GuestHouse,"['Arabic', 'English']",Couple
"Vienna, Austria",Singapore,1500-3000 USD,Humid,April,9706.2,Male,Hotel,"['English', 'Mandarin']",Friends
"Rome, Italy","Vienna, Austria",1500-3000 USD,Sunny,June,764.17,Male,Hotel,['German'],Friends
"Sydney, Australia","Nairobi, Kenya",800-1500 USD,Rainy,May,12152.19,Male,GuestHouse,"['Swahili', 'English']",Couple
"Bangkok, Thailand","Tokyo, Japan",1500-3000 USD,Cloudy,November,4598.95,Female,Airbnb,['Japanese'],Solo
"Vienna, Austria","Nairobi, Kenya",800-1500 USD,Rainy,April,5847.4,Male,GuestHouse,"['Swahili', 'English']",Friends
"Sydney, Australia","Vienna, Austria",1500-3000 USD,Cold,January,15975.72,Male,Airbnb,['German'],Solo
"Santiago, Chile","Cape Town, South Africa",800-1500 USD,Sunny,January,7941.88,Male,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Solo
"Paris, France","Vienna, Austria",1500-3000 USD,Rainy,May,1033.49,Female,GuestHouse,['German'],Couple
"New York, USA","Sydney, Australia",1500-3000 USD,Rainy,April,15988.76,Male,GuestHouse,['English'],Friends
"Lisbon, Portugal","Barcelona, Spain",1500-3000 USD,Rainy,November,1006.48,Female,Airbnb,"['Spanish', 'Catalan']",Solo
"Toronto, Canada","Santiago, Chile",800-1500 USD,Sunny,December,8618.25,Male,Airbnb,['Spanish'],Family
"Istanbul, Turkey","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,2211.95,Male,Airbnb,"['Dutch', 'English']",Solo
"Lisbon, Portugal","Bangkok, Thailand",500-800 USD,Humid,July,10683.95,Male,Airbnb,"['Thai', 'English']",Solo
"Lisbon, Portugal","Santiago, Chile",800-1500 USD,Rainy,April,10227.26,Female,Hotel,['Spanish'],Friends
"Nairobi, Kenya","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,7227.06,Male,GuestHouse,"['Malay', 'English']",Couple
"Berlin, Germany","Los Angeles, USA",1500-3000 USD,Rainy,February,9309.68,Male,Hotel,"['English', 'Spanish']",Couple
"Kuala Lumpur, Malaysia",Singapore,1500-3000 USD,Rainy,December,309.25,Male,Airbnb,"['English', 'Mandarin']",Friends
"Budapest, Hungary","Dubai, UAE",1500-3000 USD,Rainy,December,4020.02,Male,Hotel,"['Arabic', 'English']",Family
"Paris, France","Sydney, Australia",1500-3000 USD,Cloudy,July,16960.5,Female,Airbnb,['English'],Couple
"Berlin, Germany","Istanbul, Turkey",800-1500 USD,Sunny,June,1737.87,Female,GuestHouse,['Turkish'],Friends
"Mumbai, India","Los Angeles, USA",1500-3000 USD,Rainy,February,13991.18,Male,GuestHouse,"['English', 'Spanish']",Couple
"Berlin, Germany","Mexico City, Mexico",800-1500 USD,Sunny,April,9726.67,Female,GuestHouse,['Spanish'],Solo
"Berlin, Germany","Mumbai, India",800-1500 USD,Dry,October,6286.15,Male,Hotel,"['Hindi', 'English']",Family
"Kuala Lumpur, Malaysia","Nairobi, Kenya",800-1500 USD,Sunny,January,7227.06,Female,Hotel,"['Swahili', 'English']",Friends
"Dubai, UAE","Mexico City, Mexico",800-1500 USD,Sunny,April,14326.45,Male,Hotel,['Spanish'],Couple
"Tokyo, Japan","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,5317.74,Male,Airbnb,"['Malay', 'English']",Solo
"Nairobi, Kenya","Sydney, Australia",1500-3000 USD,Rainy,March,12152.19,Male,GuestHouse,['English'],Family
"Cairo, Egypt",Singapore,1500-3000 USD,Humid,May,8260.25,Male,Airbnb,"['English', 'Mandarin']",Couple
"Hanoi, Vietnam","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,2039.71,Female,Airbnb,"['Malay', 'English']",Solo
"Los Angeles, USA","Istanbul, Turkey",800-1500 USD,Cold,January,11020.01,Male,Hotel,['Turkish'],Friends
"Amsterdam, Netherlands","Moscow, Russia",800-1500 USD,Rainy,August,2146.98,Female,Airbnb,['Russian'],Colleagues
"Tokyo, Japan","Cape Town, South Africa",800-1500 USD,Sunny,December,14727.59,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Solo
"Cape Town, South Africa","Mumbai, India",800-1500 USD,Humid,July,8242.55,Male,Hotel,"['Hindi', 'English']",Family
"Paris, France","Lisbon, Portugal",800-1500 USD,Sunny,June,1452.93,Male,Hotel,['Portuguese'],Family
"Dubai, UAE","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,5154.72,Female,Hotel,"['Dutch', 'English']",Solo
"Lisbon, Portugal","London, UK",1500-3000 USD,Sunny,July,1584.99,Female,GuestHouse,['English'],Family
"Hanoi, Vietnam","Berlin, Germany",1500-3000 USD,Sunny,July,8328.62,Male,GuestHouse,"['German', 'English']",Couple
"Mumbai, India","Toronto, Canada",1500-3000 USD,Sunny,August,12487.09,Female,Hotel,"['English', 'French']",Family
"Nairobi, Kenya","London, UK",1500-3000 USD,Cloudy,December,6819.73,Male,GuestHouse,['English'],Colleagues
"Santiago, Chile","Budapest, Hungary",800-1500 USD,Sunny,July,12653.74,Female,GuestHouse,['Hungarian'],Friends
"Santiago, Chile","Mumbai, India",800-1500 USD,Humid,June,16070.95,Female,GuestHouse,"['Hindi', 'English']",Friends
"Nairobi, Kenya","Santiago, Chile",800-1500 USD,Rainy,April,11540.35,Male,Hotel,['Spanish'],Family
"Amsterdam, Netherlands","Rome, Italy",1500-3000 USD,Sunny,July,1295.95,Female,Airbnb,['Italian'],Family
"Santiago, Chile","Vienna, Austria",1500-3000 USD,Rainy,May,12506.58,Female,GuestHouse,['German'],Solo
"Sydney, Australia","Amsterdam, Netherlands",1500-3000 USD,Sunny,May,16642.9,Male,Airbnb,"['Dutch', 'English']",Friends
"Mexico City, Mexico","Tokyo, Japan",1500-3000 USD,Cloudy,November,11309.86,Female,Airbnb,['Japanese'],Couple
"Cairo, Egypt","Vienna, Austria",1500-3000 USD,Rainy,April,2382.8,Male,Airbnb,['German'],Solo
"Rome, Italy","Nairobi, Kenya",800-1500 USD,Rainy,April,5389.19,Male,Hotel,"['Swahili', 'English']",Solo
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Sunny,January,17650.5,Male,Airbnb,['Spanish'],Family
"Mumbai, India","Los Angeles, USA",1500-3000 USD,Rainy,January,13991.18,Male,Airbnb,"['English', 'Spanish']",Couple
"Barcelona, Spain","New York, USA",1500-3000 USD,Rainy,April,6166.12,Male,Hotel,"['English', 'Spanish']",Family
"Lisbon, Portugal","Mexico City, Mexico",800-1500 USD,Sunny,March,8671.35,Female,Airbnb,['Spanish'],Solo
Singapore,"Lisbon, Portugal",800-1500 USD,Rainy,November,11878.64,Male,Airbnb,['Portuguese'],Friends
"Istanbul, Turkey","Sydney, Australia",1500-3000 USD,Sunny,December,14946.24,Male,Airbnb,['English'],Couple
Singapore,"Rome, Italy",1500-3000 USD,Rainy,December,10016.63,Male,GuestHouse,['Italian'],Friends
"Nairobi, Kenya","Mumbai, India",800-1500 USD,Dry,October,4541.83,Male,GuestHouse,"['Hindi', 'English']",Friends
"Tokyo, Japan","Los Angeles, USA",1500-3000 USD,Cloudy,April,8819.39,Male,Hotel,"['English', 'Spanish']",Solo
"Santiago, Chile","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,12012.87,Male,Airbnb,"['Dutch', 'English']",Friends
"Tokyo, Japan","Vienna, Austria",1500-3000 USD,Sunny,July,9126.88,Male,GuestHouse,['German'],Solo
"Barcelona, Spain","Buenos Aires, Argentina",800-1500 USD,Cold,July,10465.77,Female,Hotel,['Spanish'],Family
"Tokyo, Japan","Rome, Italy",1500-3000 USD,Snowy,January,9852.38,Female,Airbnb,['Italian'],Friends
"Vienna, Austria","Lisbon, Portugal",800-1500 USD,Sunny,June,2298.46,Male,Airbnb,['Portuguese'],Couple
"Seoul, South Korea","Toronto, Canada",1500-3000 USD,Sunny,July,10602.22,Female,GuestHouse,"['English', 'French']",Friends
"Rio de Janeiro, Brazil","Dubai, UAE",1500-3000 USD,Hot,June,11874.57,Male,Hotel,"['Arabic', 'English']",Couple
"Kuala Lumpur, Malaysia","New York, USA",1500-3000 USD,Snowy,January,15119.36,Male,Airbnb,"['English', 'Spanish']",Family
"Santiago, Chile","Dubai, UAE",1500-3000 USD,Rainy,December,14758.23,Male,Airbnb,"['Arabic', 'English']",Colleagues
"Nairobi, Kenya","Seoul, South Korea",1500-3000 USD,Cold,January,10108.92,Male,Hotel,['Korean'],Couple
"Buenos Aires, Argentina","Seoul, South Korea",1500-3000 USD,Sunny,April,19431.73,Male,GuestHouse,['Korean'],Family
"Rome, Italy","New York, USA",1500-3000 USD,Cloudy,December,6889.94,Male,GuestHouse,"['English', 'Spanish']",Colleagues
"Cape Town, South Africa","New York, USA",1500-3000 USD,Snowy,January,12564.83,Female,Hotel,"['English', 'Spanish']",Family
"Moscow, Russia","Paris, France",1500-3000 USD,Rainy,April,2486.25,Female,Hotel,['French'],Family
"London, UK","Cairo, Egypt",500-800 USD,Hot,August,3511.31,Female,Hotel,"['Arabic', 'English']",Couple
"Lisbon, Portugal","Paris, France",1500-3000 USD,Rainy,March,1452.93,Female,Hotel,['French'],Friends
"Berlin, Germany","Mexico City, Mexico",800-1500 USD,Rainy,August,9726.67,Female,GuestHouse,['Spanish'],Couple
"Cairo, Egypt","London, UK",1500-3000 USD,Cloudy,November,3511.31,Female,Hotel,['English'],Colleagues
"Amsterdam, Netherlands","Barcelona, Spain",1500-3000 USD,Cloudy,April,1238.47,Female,GuestHouse,"['Spanish', 'Catalan']",Couple
"Tokyo, Japan","Barcelona, Spain",1500-3000 USD,Sunny,June,10413.14,Female,Hotel,"['Spanish', 'Catalan']",Family
"Cape Town, South Africa","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,9684.89,Female,Airbnb,"['Dutch', 'English']",Solo
"Nairobi, Kenya","Dubai, UAE",1500-3000 USD,Rainy,December,3560.88,Female,GuestHouse,"['Arabic', 'English']",Colleagues
"Toronto, Canada","Los Angeles, USA",1500-3000 USD,Cloudy,April,3497.26,Female,Airbnb,"['English', 'Spanish']",Couple
"Cairo, Egypt","Buenos Aires, Argentina",800-1500 USD,Sunny,January,11812.74,Male,Airbnb,['Spanish'],Family
"Santiago, Chile","Budapest, Hungary",800-1500 USD,Cold,January,12653.74,Female,Airbnb,['Hungarian'],Couple
"Bangkok, Thailand","Buenos Aires, Argentina",800-1500 USD,Cold,July,16873.22,Female,Airbnb,['Spanish'],Family
"Amsterdam, Netherlands","Santiago, Chile",800-1500 USD,Sunny,December,12012.87,Male,GuestHouse,['Spanish'],Family
"Dubai, UAE","Barcelona, Spain",1500-3000 USD,Rainy,November,5161.11,Female,Hotel,"['Spanish', 'Catalan']",Couple
"Berlin, Germany","Toronto, Canada",1500-3000 USD,Sunny,August,6473.98,Male,Hotel,"['English', 'French']",Family
"Lisbon, Portugal","New York, USA",1500-3000 USD,Cloudy,November,5422.03,Female,Hotel,"['English', 'Spanish']",Couple
"Buenos Aires, Argentina",Singapore,1500-3000 USD,Sunny,February,15882.39,Female,GuestHouse,"['English', 'Mandarin']",Colleagues
"Barcelona, Spain","Tokyo, Japan",1500-3000 USD,Sunny,July,10413.14,Male,Hotel,['Japanese'],Solo
"Tokyo, Japan","Bangkok, Thailand",500-800 USD,Humid,June,4598.95,Male,GuestHouse,"['Thai', 'English']",Couple
"Tokyo, Japan","Amsterdam, Netherlands",1500-3000 USD,Rainy,November,9288.02,Female,Hotel,"['Dutch', 'English']",Friends
"Rome, Italy","Mumbai, India",800-1500 USD,Sunny,February,6175.11,Male,Airbnb,"['Hindi', 'English']",Family
"Istanbul, Turkey","Santiago, Chile",800-1500 USD,Rainy,April,13104.58,Female,GuestHouse,['Spanish'],Family
"Mexico City, Mexico","Kuala Lumpur, Malaysia",800-1500 USD,Sunny,March,16627.22,Female,Hotel,"['Malay', 'English']",Solo
"Cairo, Egypt","Kuala Lumpur, Malaysia",800-1500 USD,Rainy,September,7954.96,Male,GuestHouse,"['Malay', 'English']",Friends
"Lisbon, Portugal","Cairo, Egypt",500-800 USD,Windy,April,3795.89,Female,GuestHouse,"['Arabic', 'English']",Friends
"Istanbul, Turkey","Sydney, Australia",1500-3000 USD,Cloudy,June,14946.24,Female,Hotel,['English'],Friends
"Nairobi, Kenya","Tokyo, Japan",1500-3000 USD,Cloudy,November,11247.99,Female,Hotel,['Japanese'],Couple
"London, UK","Barcelona, Spain",1500-3000 USD,Cloudy,April,1139.12,Female,Airbnb,"['Spanish', 'Catalan']",Family
"Tokyo, Japan","Buenos Aires, Argentina",800-1500 USD,Rainy,February,18373.43,Male,Hotel,['Spanish'],Friends
"Los Angeles, USA","Budapest, Hungary",800-1500 USD,Rainy,May,9997.68,Male,GuestHouse,['Hungarian'],Friends
"London, UK","Lisbon, Portugal",800-1500 USD,Rainy,October,1584.99,Female,Airbnb,['Portuguese'],Couple
"Paris, France","Nairobi, Kenya",800-1500 USD,Humid,March,6483.09,Male,Hotel,"['Swahili', 'English']",Friends
"Bangkok, Thailand","Cape Town, South Africa",800-1500 USD,Windy,October,10145.34,Male,Hotel,"['English', 'Afrikaans', 'Xhosa']",Couple
"New York, USA","Paris, France",1500-3000 USD,Rainy,May,5837.24,Male,Hotel,['French'],Family
"Sydney, Australia","Berlin, Germany",1500-3000 USD,Sunny,June,16094.5,Male,Airbnb,"['German', 'English']",Solo
"Berlin, Germany","Cairo, Egypt",500-800 USD,Hot,July,2891.83,Male,Airbnb,"['Arabic', 'English']",Couple
"Toronto, Canada","Barcelona, Spain",1500-3000 USD,Sunny,August,6400.54,Female,Hotel,"['Spanish', 'Catalan']",Solo
"Dubai, UAE","Mexico City, Mexico",800-1500 USD,Sunny,March,14326.45,Male,Hotel,['Spanish'],Couple
"Toronto, Canada","Seoul, South Korea",1500-3000 USD,Sunny,April,10602.22,Female,Airbnb,['Korean'],Friends
"Lisbon, Portugal","London, UK",1500-3000 USD,Rainy,March,1584.99,Male,Airbnb,['English'],Family
"Los Angeles, USA","Mumbai, India",800-1500 USD,Dry,November,13991.18,Female,Hotel,"['Hindi', 'English']",Family
"Istanbul, Turkey","Cape Town, South Africa",800-1500 USD,Rainy,July,8401.97,Female,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Solo
"Rome, Italy","Cairo, Egypt",500-800 USD,Sunny,November,2132.44,Female,Hotel,"['Arabic', 'English']",Family
"Tokyo, Japan","Nairobi, Kenya",800-1500 USD,Rainy,May,11247.99,Male,GuestHouse,"['Swahili', 'English']",Solo
"Sydney, Australia","Tokyo, Japan",1500-3000 USD,Rainy,June,7825.82,Male,Hotel,['Japanese'],Friends
"Vienna, Austria","Paris, France",1500-3000 USD,Rainy,April,1033.49,Male,Airbnb,['French'],Friends
"Toronto, Canada","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,8270.12,Female,Airbnb,['Portuguese'],Couple
"Tokyo, Japan","Nairobi, Kenya",800-1500 USD,Sunny,January,11247.99,Male,GuestHouse,"['Swahili', 'English']",Solo
"Paris, France","Moscow, Russia",800-1500 USD,Cold,January,2486.25,Male,GuestHouse,['Russian'],Colleagues
"Paris, France","Rome, Italy",1500-3000 USD,Snowy,January,1105.28,Male,GuestHouse,['Italian'],Couple
"Amsterdam, Netherlands","Los Angeles, USA",1500-3000 USD,Rainy,January,8939.71,Male,GuestHouse,"['English', 'Spanish']",Friends
"Barcelona, Spain","Mexico City, Mexico",800-1500 USD,Cold,December,9489.44,Female,Hotel,['Spanish'],Couple
"Nairobi, Kenya","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,7227.06,Female,GuestHouse,"['Malay', 'English']",Couple
"Kuala Lumpur, Malaysia","Paris, France",1500-3000 USD,Cloudy,November,10424.01,Female,Hotel,['French'],Couple
"Rio de Janeiro, Brazil","Sydney, Australia",1500-3000 USD,Cloudy,June,13521.03,Male,Hotel,['English'],Friends
"Nairobi, Kenya","Hanoi, Vietnam",500-800 USD,Humid,August,7893.29,Female,Hotel,['Vietnamese'],Friends
"Lisbon, Portugal","Dubai, UAE",1500-3000 USD,Sunny,November,6131.54,Female,Airbnb,"['Arabic', 'English']",Family
"Lisbon, Portugal","Berlin, Germany",1500-3000 USD,Rainy,May,2312.12,Female,Airbnb,"['German', 'English']",Solo
"Moscow, Russia","Sydney, Australia",1500-3000 USD,Sunny,December,14496.16,Male,Airbnb,['English'],Couple
"Lisbon, Portugal","Toronto, Canada",1500-3000 USD,Sunny,July,5723.06,Female,Airbnb,"['English', 'French']",Family
"Cairo, Egypt","Paris, France",1500-3000 USD,Cloudy,November,3210.01,Female,Hotel,['French'],Couple
"Buenos Aires, Argentina","Cape Town, South Africa",800-1500 USD,Sunny,January,6869.75,Female,Hotel,"['English', 'Afrikaans', 'Xhosa']",Couple
"Amsterdam, Netherlands","Rome, Italy",1500-3000 USD,Rainy,November,1295.95,Male,Hotel,['Italian'],Friends
"Rio de Janeiro, Brazil","Moscow, Russia",800-1500 USD,Cold,February,11543.76,Female,GuestHouse,['Russian'],Family
"Seoul, South Korea","Toronto, Canada",1500-3000 USD,Snowy,February,10602.22,Male,GuestHouse,"['English', 'French']",Couple
"Buenos Aires, Argentina","Hanoi, Vietnam",500-800 USD,Humid,July,17856.82,Male,Hotel,['Vietnamese'],Friends
"Vienna, Austria","Rio de Janeiro, Brazil",500-800 USD,Sunny,November,9874.18,Male,GuestHouse,['Portuguese'],Solo
"Buenos Aires, Argentina","London, UK",1500-3000 USD,Rainy,March,11127.8,Male,Airbnb,['English'],Colleagues
"Rome, Italy","Amsterdam, Netherlands",1500-3000 USD,Sunny,June,1295.95,Male,GuestHouse,"['Dutch', 'English']",Friends
"Rio de Janeiro, Brazil","Santiago, Chile",800-1500 USD,Rainy,April,2927.08,Female,Hotel,['Spanish'],Friends
"Santiago, Chile","Budapest, Hungary",800-1500 USD,Sunny,June,12653.74,Female,Airbnb,['Hungarian'],Family
"Mumbai, India","Seoul, South Korea",1500-3000 USD,Cold,February,5595.18,Female,Airbnb,['Korean'],Couple
"Hanoi, Vietnam","Cairo, Egypt",500-800 USD,Sunny,October,7427.62,Male,Airbnb,"['Arabic', 'English']",Friends
"Dubai, UAE","Moscow, Russia",800-1500 USD,Rainy,August,3679.77,Female,GuestHouse,['Russian'],Colleagues
"Tokyo, Japan","Mumbai, India",800-1500 USD,Sunny,February,6720.31,Female,Airbnb,"['Hindi', 'English']",Family
"Mumbai, India","Berlin, Germany",1500-3000 USD,Sunny,July,6286.15,Male,Airbnb,"['German', 'English']",Couple
"Mexico City, Mexico","Barcelona, Spain",1500-3000 USD,Rainy,December,9489.44,Female,Hotel,"['Spanish', 'Catalan']",Couple
"New York, USA","Los Angeles, USA",1500-3000 USD,Rainy,February,3935.75,Female,GuestHouse,"['English', 'Spanish']",Solo
"Berlin, Germany","Mumbai, India",800-1500 USD,Humid,June,6286.15,Male,GuestHouse,"['Hindi', 'English']",Family
"New York, USA","Los Angeles, USA",1500-3000 USD,Cloudy,April,3935.75,Female,Airbnb,"['English', 'Spanish']",Solo
"Barcelona, Spain","Buenos Aires, Argentina",800-1500 USD,Sunny,December,10465.77,Female,GuestHouse,['Spanish'],Couple
"Hanoi, Vietnam","Istanbul, Turkey",800-1500 USD,Rainy,November,7417.8,Male,Hotel,['Turkish'],Couple
"Bangkok, Thailand","Lisbon, Portugal",800-1500 USD,Sunny,July,10683.95,Male,Airbnb,['Portuguese'],Friends
"Paris, France","Tokyo, Japan",1500-3000 USD,Rainy,June,9711.72,Female,Hotel,['Japanese'],Couple
"Vienna, Austria","Dubai, UAE",1500-3000 USD,Sunny,October,4233.89,Female,Airbnb,"['Arabic', 'English']",Family
"Dubai, UAE","Istanbul, Turkey",800-1500 USD,Rainy,November,2990.88,Female,Hotel,['Turkish'],Family
"Rio de Janeiro, Brazil","Budapest, Hungary",800-1500 USD,Sunny,July,9987.41,Female,Airbnb,['Hungarian'],Family
"Rio de Janeiro, Brazil","Dubai, UAE",1500-3000 USD,Rainy,December,11874.57,Male,Airbnb,"['Arabic', 'English']",Colleagues
"Santiago, Chile","Mexico City, Mexico",800-1500 USD,Rainy,July,6610.1,Male,Hotel,['Spanish'],Friends
"Mexico City, Mexico","Berlin, Germany",1500-3000 USD,Sunny,June,9726.67,Male,Airbnb,"['German', 'English']",Friends
"Vienna, Austria","Sydney, Australia",1500-3000 USD,Sunny,January,15975.72,Male,Hotel,['English'],Friends
"Hanoi, Vietnam","Istanbul, Turkey",800-1500 USD,Sunny,May,7417.8,Female,GuestHouse,['Turkish'],Friends
"Buenos Aires, Argentina","Nairobi, Kenya",800-1500 USD,Humid,March,10401.61,Female,GuestHouse,"['Swahili', 'English']",Friends
"Buenos Aires, Argentina","Barcelona, Spain",1500-3000 USD,Cloudy,April,10465.77,Female,Hotel,"['Spanish', 'Catalan']",Family
"Seoul, South Korea","Tokyo, Japan",1500-3000 USD,Rainy,June,1149.36,Female,Airbnb,['Japanese'],Couple
"London, UK","Hanoi, Vietnam",500-800 USD,Rainy,May,9235.44,Female,Airbnb,['Vietnamese'],Family
Singapore,"London, UK",1500-3000 USD,Rainy,March,10847.84,Female,Airbnb,['English'],Family
"Amsterdam, Netherlands","Cairo, Egypt",500-800 USD,Hot,July,3282.08,Male,Airbnb,"['Arabic', 'English']",Couple
"Amsterdam, Netherlands","Budapest, Hungary",800-1500 USD,Sunny,July,1144.83,Male,GuestHouse,['Hungarian'],Friends
"Mexico City, Mexico","Berlin, Germany",1500-3000 USD,Rainy,May,9726.67,Female,GuestHouse,"['German', 'English']",Friends
"Hanoi, Vietnam","Bangkok, Thailand",500-800 USD,Rainy,October,987.86,Female,Airbnb,"['Thai', 'English']",Couple
"Hanoi, Vietnam","Buenos Aires, Argentina",800-1500 USD,Cold,August,17856.82,Female,Hotel,['Spanish'],Family
"Hanoi, Vietnam","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,8880.93,Female,Airbnb,"['Dutch', 'English']",Friends
"New York, USA","Rome, Italy",1500-3000 USD,Snowy,January,6889.94,Female,Hotel,['Italian'],Friends
"Berlin, Germany","Barcelona, Spain",1500-3000 USD,Sunny,August,1499.45,Male,Airbnb,"['Spanish', 'Catalan']",Family
"Rome, Italy","Hanoi, Vietnam",500-800 USD,Sunny,February,8731.43,Female,GuestHouse,['Vietnamese'],Friends
"Moscow, Russia","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,2146.98,Female,Hotel,"['Dutch', 'English']",Solo
"Buenos Aires, Argentina","Los Angeles, USA",1500-3000 USD,Cloudy,April,9852.02,Male,Airbnb,"['English', 'Spanish']",Couple
"Buenos Aires, Argentina",Singapore,1500-3000 USD,Humid,May,15882.39,Male,GuestHouse,"['English', 'Mandarin']",Couple
"Bangkok, Thailand","Kuala Lumpur, Malaysia",800-1500 USD,Humid,June,1187.74,Male,GuestHouse,"['Malay', 'English']",Solo
"Moscow, Russia","Mexico City, Mexico",800-1500 USD,Cold,January,10719.39,Male,GuestHouse,['Spanish'],Friends
"Rio de Janeiro, Brazil","Cairo, Egypt",500-800 USD,Windy,April,9883.71,Female,GuestHouse,"['Arabic', 'English']",Friends
"Dubai, UAE","Cairo, Egypt",500-800 USD,Sunny,October,2423.28,Male,Hotel,"['Arabic', 'English']",Couple
"Nairobi, Kenya","Buenos Aires, Argentina",800-1500 USD,Cold,July,10401.61,Male,GuestHouse,['Spanish'],Couple
"Sydney, Australia","Mumbai, India",800-1500 USD,Sunny,March,10156.82,Male,GuestHouse,"['Hindi', 'English']",Couple
"Paris, France","Cape Town, South Africa",800-1500 USD,Rainy,June,9341.74,Male,Hotel,"['English', 'Afrikaans', 'Xhosa']",Solo
"Los Angeles, USA","Paris, France",1500-3000 USD,Rainy,March,9085.51,Female,Airbnb,['French'],Friends
"Barcelona, Spain","Toronto, Canada",1500-3000 USD,Sunny,July,6400.54,Female,Hotel,"['English', 'French']",Couple
"Bangkok, Thailand","Santiago, Chile",800-1500 USD,Rainy,April,17650.5,Male,GuestHouse,['Spanish'],Couple
"Istanbul, Turkey","Bangkok, Thailand",500-800 USD,Humid,June,7466.72,Female,Hotel,"['Thai', 'English']",Family
"Cape Town, South Africa","Toronto, Canada",1500-3000 USD,Snowy,February,13099.02,Female,Hotel,"['English', 'French']",Friends
"Hanoi, Vietnam","Paris, France",1500-3000 USD,Sunny,June,9197.28,Male,GuestHouse,['French'],Family
"Hanoi, Vietnam","Dubai, UAE",1500-3000 USD,Sunny,October,5161.1,Female,Hotel,"['Arabic', 'English']",Colleagues
"Cape Town, South Africa","Budapest, Hungary",800-1500 USD,Rainy,April,9054.01,Male,Hotel,['Hungarian'],Couple
"Budapest, Hungary","Berlin, Germany",1500-3000 USD,Snowy,December,688.03,Female,Airbnb,"['German', 'English']",Friends
"Cape Town, South Africa","London, UK",1500-3000 USD,Cloudy,December,9671.0,Male,Airbnb,['English'],Couple
"Vienna, Austria","Dubai, UAE",1500-3000 USD,Sunny,October,4233.89,Female,Airbnb,"['Arabic', 'English']",Family
"Santiago, Chile","Mexico City, Mexico",800-1500 USD,Cold,December,6610.1,Male,Hotel,['Spanish'],Couple
"Sydney, Australia","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,16642.9,Male,Hotel,"['Dutch', 'English']",Solo
"Paris, France","Amsterdam, Netherlands",1500-3000 USD,Cloudy,October,429.86,Male,Hotel,"['Dutch', 'English']",Couple
"Hanoi, Vietnam","Bangkok, Thailand",500-800 USD,Rainy,October,987.86,Female,Airbnb,"['Thai', 'English']",Family
"Vienna, Austria","Budapest, Hungary",800-1500 USD,Sunny,July,214.04,Female,Hotel,['Hungarian'],Family
"Buenos Aires, Argentina","Paris, France",1500-3000 USD,Rainy,April,11050.12,Male,GuestHouse,['French'],Couple
"Mexico City, Mexico",Singapore,1500-3000 USD,Humid,May,16606.7,Female,GuestHouse,"['English', 'Mandarin']",Colleagues
"London, UK","Los Angeles, USA",1500-3000 USD,Rainy,February,8755.6,Male,Airbnb,"['English', 'Spanish']",Friends
"Nairobi, Kenya","Barcelona, Spain",1500-3000 USD,Rainy,November,5889.77,Male,GuestHouse,"['Spanish', 'Catalan']",Couple
"Paris, France","Rio de Janeiro, Brazil",500-800 USD,Rainy,March,9167.42,Female,GuestHouse,['Portuguese'],Solo
"Budapest, Hungary","London, UK",1500-3000 USD,Rainy,March,1449.24,Male,Airbnb,['English'],Couple
"Mumbai, India","Cape Town, South Africa",800-1500 USD,Sunny,January,8242.55,Male,Airbnb,"['English', 'Afrikaans', 'Xhosa']",Solo
"Cairo, Egypt","Barcelona, Spain",1500-3000 USD,Sunny,August,2892.41,Female,GuestHouse,"['Spanish', 'Catalan']",Couple
"Amsterdam, Netherlands","Toronto, Canada",1500-3000 USD,Snowy,January,5979.92,Male,Hotel,"['English', 'French']",Family
"Dubai, UAE","Berlin, Germany",1500-3000 USD,Rainy,May,4619.52,Female,GuestHouse,"['German', 'English']",Couple
"Hanoi, Vietnam","Cairo, Egypt",500-800 USD,Sunny,October,7427.62,Female,Airbnb,"['Arabic', 'English']",Family
"Bangkok, Thailand","Rome, Italy",1500-3000 USD,Rainy,November,8828.72,Female,GuestHouse,['Italian'],Friends
"Lisbon, Portugal","Budapest, Hungary",800-1500 USD,Rainy,May,2469.44,Male,Hotel,['Hungarian'],Friends
